state,population
Kano,13076900
Lagos,12550600
Kaduna,8252400
Katsina,7831300
Oyo,7840900
Rivers,7303900
Bauchi,6537300
Jigawa,5828200
Benue,5741800
Anambra,5527800
Borno,5860200
Delta,5663400
Niger,5556200
Imo,5408800
Akwa Ibom,5482200
Ogun,5217700
Sokoto,4998100
Osun,4705600
Ondo,4671700
Zamfara,4515400
Kogi,4473500
Kebbi,4440000
Enugu,4411100
Edo,4233100
Plateau,4200400
Adamawa,4248400
Cross River,3866300
Abia,3727300
Ekiti,3270800
Yobe,3294100
Gombe,3257000
Kwara,3192900
Taraba,3066800
Ebonyi,2880400
Nasarawa,2523400
Bayelsa,2278000
FCT,3564100

