first_m,first_f,last
Mohammadu,Ramatu,Muhammadu
Gambo,Fadila,Farouq
Danjuma,Mohammadu,Ali
Habib,Zubaida,Kabir
Muhammad,Saadatu,Mansur
Farouq,Asmau,Abdulhamid
Hussaini,Ummi,Tijjani
Yakubu,Zulaihat,Saleh
Nura,Kabiru,Sale
Umar,Quadri,Abdulrahaman
Kabiru,Khadija,Aliu
Kabir,Rabiatu,Salako
Quadri,Morufu,Abuh
Mustapha,Salma,Abdulkadir
Mansur,Halima,Ibraheem
Yusuf,Nafisa,Abdulganiyu
Morufu,Maryam,Abdullah
Salisu,Sakina,Danjuma
Mahmud,Farida,Muhammad
Tijjani,Lami,Abdul
Nasiru,Muhammed,Mustapha
Garba,Ciroma,Musbahu
Auwal,Khabib,Abdu
Muhammed,Hadiza,Salau
Adamu,Aisha,Nasiru
Khabib,Binta,Auwal
Ciroma,Fatima,Adamu
Danladi,Maimuna,Danladi
Aminu,Murjanatu,Salawudeen
Bashir,Shamsiyya,Lawal
Isa,Hafsat,Bello
Lawal,Bello,Mustafa
Bello,Hajara,Abubakar
Ibrahim,Amina,Sanda
Shehu,Safiya,Abdulmalik
Ahmad,Abubakar,Abdulmumini
Rabiu,Lubabatu,Ahmed
Abubakar,Kazeem,Suleiman
Kazeem,Umaru,Isah
Idris,Zainab,Abdulrahman
Umaru,Fati,Abdulwahab
Hassan,Rukayya,Abdulsalam
Sani,Bilki,Salami
Abdullahi,Jamila,Salam
Abdulkarim,Abdulkarim,Abdulahi
Aliyu,Aliyu,Yusuf
Isah,Hauwa,Ahmadu
Suleiman,Habiba,Hashimu
Hamza,Musa,Garba
Musa,,Muhammed
,,Abdulrazak
,,Abubaka
,,Bashir
,,Abdulkareem
,,Ibrahim
,,Sanni
,,Usman
,,Ahmad
,,Husaini
,,Salifu
,,Idris
,,Hassan
,,Alimi
,,Abdulazeez
,,Salaudeen
,,Hussain
,,Saliu
,,Habib
,,Muhamed
,,Yakubu
,,Hussaini
,,Umar
,,Abdulaziz
,,Salisu
,,Mahmud
,,Garuba
,,Salihu
,,Hashim
,,Isa
,,Shehu
,,Abu
,,Rabiu
,,Hussani
,,Sani
,,Hasan
,,Abdullahi
,,Salawu
,,Abdulkarim
,,Aliyu
,,Salim
,,Sanusi
,,Hamza
,,Musa
Amina,Abdullahi,Aba
Fatima,Aminu,Abah
Habiba,Garba,Abas
Hadiza,Habib,Abass
Hadizatu,Hadizatu,Abayomi
Muhammadu,Ibrahim,Abba
Zainab,Kabir,Abbakar
Zainabu,Muhammad,Abbas
Mohammadu,Muhammadu,Abe
Gambo,Umar,Abel
Danjuma,Zainabu,Abidoye
Habib,Ramatu,Abimbola
Muhammad,Fadila,Abiodun
Farouq,Mohammadu,Abiola
Hussaini,Zubaida,Abioye
Yakubu,Saadatu,Abraham
Nura,Asmau,Ada
Umar,Ummi,Adah
Kabiru,Zulaihat,Adam
Kabir,Kabiru,Adama
Quadri,Quadri,Adams
Mustapha,Khadija,Ade
Mansur,Rabiatu,Adeagbo
Yusuf,Morufu,Adebanjo
Morufu,Salma,Adebayo
Salisu,Halima,Adebisi
Mahmud,Nafisa,Adebiyi
Tijjani,Maryam,Adebowale
Nasiru,Sakina,Adeboye
Garba,Farida,Adedayo
Auwal,Lami,Adedeji
Muhammed,Muhammed,Adediran
Adamu,Ciroma,Adedokun
Khabib,Khabib,Adedoyin
Ciroma,Hadiza,Adegbite
Danladi,Aisha,Adegbola
Aminu,Binta,Adegboye
Bashir,Fatima,Adegboyega
Isa,Maimuna,Adegoke
Lawal,Murjanatu,Adejumo
Bello,Shamsiyya,Adekola
Ibrahim,Hafsat,Adekoya
Shehu,Bello,Adekunle
Ahmad,Hajara,Adelaja
Rabiu,Amina,Adelakun
Abubakar,Safiya,Adeleke
Kazeem,Abubakar,Adeleye
Idris,Lubabatu,Ademola
Umaru,Kazeem,Ademu
Hassan,Umaru,Adeniji
Sani,Zainab,Adeniran
Abdullahi,Fati,Adeniyi
Abdulkarim,Rukayya,Adenuga
Aliyu,Bilki,Adeola
Isah,Jamila,Adeosun
Suleiman,Abdulkarim,Adeoti
Hamza,Aliyu,Adeoye
Musa,Hauwa,Adepoju
,Habiba,Aderemi
,Musa,Aderibigbe
,,Adesanya
,,Adeshina
,,Adesina
,,Adesola
,,Adetunji
,,Adewale
,,Adewole
,,Adewumi
,,Adewunmi
,,Adewuyi
,,Adeyanju
,,Adeyemi
,,Adeyemo
,,Adeyeye
,,Adeyinka
,,Adigun
,,Adio
,,Adisa
,,Ado
,,Adu
,,Afolabi
,,Afolayan
,,Agada
,,Agba
,,Agbaje
,,Agbo
,,Agboola
,,Agbor
,,Agu
,,Agunbiade
,,Aguomba
,,Agwu
,,Ahamad
,,Ahamed
,,Aina
,,Aisha
,,Aishatu
,,Aja
,,Ajadi
,,Ajah
,,Ajala
Amina,,Ajani
Fatima,,Ajao
Habiba,,Ajayi
Hadiza,Abdullahi,Ajewole
Hadizatu,Aminu,Ajibade
Muhammadu,Garba,Ajibola
Zainab,Habib,Ajiboye
Zainabu,Hadizatu,Akanbi
Mohammadu,Ibrahim,Akande
Gambo,Kabir,Akanji
Danjuma,Muhammad,Akanni
Habib,Muhammadu,Akeem
Muhammad,Umar,Akindele
Farouq,Zainabu,Akinleye
Hussaini,Ramatu,Akinola
Yakubu,Fadila,Akinpelu
Nura,Mohammadu,Akinsanya
Umar,Zubaida,Akinsola
Kabiru,Saadatu,Akintayo
Kabir,Asmau,Akintola
Quadri,Ummi,Akintunde
Mustapha,Zulaihat,Akinwale
Mansur,Kabiru,Akinyemi
Yusuf,Quadri,Akomolafe
Morufu,Khadija,Akor
Salisu,Rabiatu,Akpa
Mahmud,Morufu,Akpan
Tijjani,Salma,Alabi
Nasiru,Halima,Alade
Garba,Nafisa,Alao
Auwal,Maryam,Alasan
Muhammed,Sakina,Albert
Adamu,Farida,Alex
Khabib,Lami,Alfa
Ciroma,Muhammed,Alfred
Danladi,Ciroma,Alhaji
Aminu,Khabib,Alhasan
Bashir,Hadiza,Alhassan
Isa,Aisha,Alkali
Lawal,Binta,Alli
Bello,Fatima,Alo
Ibrahim,Maimuna,Alonge
Shehu,Murjanatu,Alozie
Ahmad,Shamsiyya,Alu
Rabiu,Hafsat,Aluko
Abubakar,Bello,Ama
Kazeem,Hajara,Amadi
Idris,Amina,Amadu
Umaru,Safiya,Amaechi
Hassan,Abubakar,Ameh
Sani,Lubabatu,Amesi
Abdullahi,Kazeem,Amina
Abdulkarim,Umaru,Aminu
Aliyu,Zainab,Amodu
Isah,Fati,Amoo
Suleiman,Rukayya,Amos
Hamza,Bilki,Amuda
Musa,Jamila,Amusa
,Abdulkarim,Amusan
,Aliyu,Anas
,Hauwa,Andrew
,Habiba,Aneke
,Musa,Anene
,,Ani
,,Anifowose
,,Anthony
,,Anwukweru
,,Anya
,,Anyanwu
,,Archibong
,,Aremu
,,Ari
,,Arinze
,,Ariyo
,,Arowolo
,,Asabe
,,Ashiru
,,Asogwa
,,Asuquo
,,Atanda
,,Atiku
,,Attah
,,Attahiru
,,Audu
,,Augustine
,,Auta
,,Auwalu
,,Awe
,,Awoyemi
,,Ayeni
,,Ayinde
,,Ayinla
,,Ayo
,,Ayoade
,,Ayodeji
,,Ayodele
,,Ayoola
,,Ayuba
,,Azeez
,,Azubuike
,,Baba
Amina,,Babagana
Fatima,,Babalola
Habiba,,Babangida
Hadiza,,Babatunde
Hadizatu,,Babayo
Muhammadu,,Badamasi
Zainab,Abdullahi,Badmus
Zainabu,Aminu,Bakare
Mohammadu,Garba,Bako
Gambo,Habib,Bala
Danjuma,Hadizatu,Balarabe
Habib,Ibrahim,Balogun
Muhammad,Kabir,Bamidele
Farouq,Muhammad,Bankole
Hussaini,Muhammadu,Barau
Yakubu,Umar,Barde
Nura,Zainabu,Bashar
Umar,Ramatu,Bashiru
Kabiru,Fadila,Basiru
Kabir,Mohammadu,Bassey
Quadri,Zubaida,Bature
Mustapha,Saadatu,Bawa
Mansur,Asmau,Ben
Yusuf,Ummi,Benjamin
Morufu,Zulaihat,Benson
Salisu,Kabiru,Bishir
Mahmud,Quadri,Bitrus
Tijjani,Khadija,Bolaji
Nasiru,Rabiatu,Bolarinwa
Garba,Morufu,Brown
Auwal,Salma,Buba
Muhammed,Halima,Buhari
Adamu,Nafisa,Bukar
Khabib,Maryam,Bulama
Ciroma,Sakina,Bulus
Danladi,Farida,Busari
Aminu,Lami,Charles
Bashir,Muhammed,Charlse
Isa,Ciroma,Chidi
Lawal,Khabib,Chika
Bello,Hadiza,Chima
Ibrahim,Aisha,Chime
Shehu,Binta,Chimezie
Ahmad,Fatima,Chinda
Rabiu,Maimuna,Chinedu
Abubakar,Murjanatu,Christian
Kazeem,Shamsiyya,Christopher
Idris,Hafsat,Chuku
Umaru,Bello,Chukwu
Hassan,Hajara,Chukwudi
