first_m,first_f,last
Ebere,Ebere,Nnaemeka
Obinna,Chioma,Ugwoke
Nnaemeka,Ama,Tochukwu
Tochukwu,Joy,Ezeriora
Chioma,chinelo,Ozongwu
Ama,Chidozie,Udeh
chinelo,Oma,Chukwu
Chidozie,Chinonso,Onoh
Oma,Uchechi,Ike
Chinonso,Chilaka,Okafor
Chilaka,Onyinyechi,Chinedu
Chukwuka,Nkechi,Ezeh
Ikechukwu,Chukwuka,Ugwuanyi
Kelechi,Chinaza,Ebuka
Chinaza,Chidiebube,Nwachukwu
Chukwuebuka,Chidimma,Obi
Somtochukwu,Oluchi,Chijioke
Chidiebube,Ukamaka,Okwor
Uchenna,Chiebuka,Ikenna
Chidimma,Chidi,Ijele
Ukamaka,Chinyere,Okorie
Chiebuka,Amarachi,Ejike
Oluchi,Obianuju,Nnaji
Chidi,Chika,Ezeadikwa
Chinyere,Ebube,Onwuakpa
Chukwudi,Nwando,Okoli
Chika,Nkiru,Chukwuma
Chinedu,Ginika,Chima
Nwando,Uzo,Ozougwu
Azubuike,Uche,Chidubem
Amadi,Ikeora,Obinna
Uzo,Chinazaekpere,Okoronkwo
Ebube,Ngozi,Nwaeze
Ikeora,Chinasa,Chukwuka
Chinazaekpere,Nwanneka,Chinda
Ozioma,Ozioma,Njoku
Chizoba,Ujunwa,Chukwuebuka
Chibueze,Ifeyinwa,Nwafor
Kalu,Chibuzor,Udoh
Ugochukwu,Ebuka,Uchenna
Onyekachi,Onyeka,Ekeh
Ebuka,Chido,IwuIwuanyanwu
Onyeka,Chichi,Uwa
Chido,Chineze,Nwani
Chichi,Chidiebere,Nwabueze
Chineze,Uka,Ezekiel
Chidiebere,Chidinma,Chuku
Uka,Chinwe,Nworie
Chijioke,Chizaram,Dimgba
Ikenna,Ndidi,Ugochukwu
Eze,Chinenye,Okeke
Chi,Onyinye,Emenike
Amaka,Chi,Ude
Nonso,Ijeoma,Soludo
Kosisochukwu,Amaka,Kosisochukwu
Nnamdi,Nonso,Nnamdi
Uzoma,Mary,Ozoemena
Chigozie,Kosisochukwu,Emeka
Chikwado,Chigozie,Okoye
Chukwuma,Uzoma,Chukwuemeka
Ogechi,Chukwunonso,Ibeh
Chukwunonso,Chukwuma,Ebere
Obiora,Ogechi,Chime
Uzoamaka,Nkem,Ikechukwu
Chima,Obiora,Nwoye
Amara,Nneka,Orji
Emeka,Uzoamaka,Ayalogu
Chiemeka,Amara,Chidi
Chukuwebuka,Emeka,Nwosu
Chinwe,Chiemeka,Chukwudi
Chukwuemeka,Chukuwebuka,Chika
Chidubem,Chima,Ezerioha
Chiamaka,Chizoba,Okoro
,Chukwuemeka,Ozokwor
,Chiamaka,Ngwu
,,Okereke
,,Ikpeazu
,,Okonkwo
,,Nnamani
,,Nweke
,,Igwe
,,Eze
,,Ozor
,,Okorafor
,,Okoh
,,Nwali
,,Ikenga
,,Chigozie
,,Nwadike
,,Obiora
,,Chimezie
,,Umahi
,,Kelechi
,,Somtochukwu
,,Nwaosu
,,Ugwuoke
,,Obioha
,,Kalu
,,Mmadu
,,Ugo
,,Onyekachi
,,Onyeka
,,Chidiebere
,,Ibeneme
,,Mmaduabuchi
,,Ugwu
,,Nwankwo
,,Uzoma
,,Chikwado
,,Odoh
,,Ozonoh
Adaeze,Adaeze,Adaeze
Adanna,Adanna,Adanna
Adannaya,Adannaya,Adannaya
Amarachi,Chibueze,Amarachi
Chibuike,Chibuike,Chiamaka
Chibuzo,Chibuzo,Chibueze
Chibuzor,Chidiebele,Chibuike
Chidiebele,Chidiegwu,Chibuzo
Chidiegwu,Chidike,Chibuzor
Chidike,Chidubem,Chichi
Chidinma,Chijindum,Chidiebele
Chijindum,Chijioke,Chidiebube
Chike,Chike,Chidiegwu
Chikelu,Chikelu,Chidike
Chikere,Chikere,Chidimma
Chimezie,Chimezie,Chidinma
Chinasa,Chinedu,Chiemeka
Chinelo,Chinelo,Chijindum
Chinenye,Chinweike,Chike
Chinweike,Chinwendu,Chikelu
Chinwendu,Chinweuba,Chikere
Chinweuba,Chinyelu,Chinasa
Chinyelu,Chisom,Chinelo
Chisom,Chukwu,Chinenye
Chukwu,Chukwudi,Chinonso
Ifeanyi,Chukwuebuka,Chinwe
Ifeanyichukwu,Ifeanyi,Chinweike
Ifeoma,Ifeanyichukwu,Chinwendu
Ngozi,Ifeoma,Chinweuba
Nkechi,Kelechi,Chinyelu
Nkechinyere,Nkechinyere,Chinyere
Uche,Nnamdi,Chioma
Ebere,Obinna,Chisom
Obinna,Tochukwu,Chizoba
Nnaemeka,Uchenna,Ifeanyi
Tochukwu,Ebere,Ifeanyichukwu
Chioma,Chioma,Ifeoma
Ama,Ama,Iwuiwuanyanwu
chinelo,Joy,Ngozi
Chidozie,chinelo,Nkechi
Oma,Chidozie,Nkechinyere
Chinonso,Oma,Ogechi
Chilaka,Chinonso,Uche
