first_m,first_f,last
joe,joe,Badamasi
denny,denny,Anwukweru
Britney,Britney,Saidu
Samuel,Iquo,Dominic
Blaise,Blaise,Mark
Mark,Samuel,Olorunfemi
Paulinus,Mark,Kabir
Colzy,Paulinus,Shittu
Ekene,Colzy,Ajibola
Nagga,Ekene,Hayatu
Paul,Nagga,Alasan
Perfect,Paul,Oseni
Margaret,Perfect,Ekanem
Tari,Margaret,Folorunso
Raphael,Tari,Attahiru
Phoebe,Raphael,Onyekwere
rosseuf,Phoebe,Isaac
Susan,rosseuf,Bala
Vika,Susan,Nana
Segs,Vika,Halidu
Victor,Segs,Olisa
bolavive,Victor,Maduka
Tega,bolavive,Alfred
Michael,Michael,Iwuchukwu
Amanda,Amanda,Igboke
Isaac,Isaac,Okorie
Tomilola,Tomilola,Ejike
Esther,Esther,Charlse
Mariam,Mariam,Ukpong
Akon,Akon,Zakari
Okon,Tare,Sam
Udo,Queen,Dick
Tare,Kamaldeen,Ilyasu
Queen,Ralph,Omeh
Kamaldeen,Favour,Akpa
Ralph,Sam,Gyang
Favour,Blessing,Okolo
Sam,sharon,Fagbemi
Blessing,Emmanuel,Pius
sharon,Kenny,Mutari
Emmanuel,Sodiq,Wasiu
Kenny,Patricia,Sagir
Sodiq,Preye,Pam
Patricia,Rosemary,Dalhatu
Preye,Tina,Popoola
Rosemary,Grace,Ama
Tina,kelechi,Bature
Grace,Dean,Ariyo
kelechi,Walter,Ajibade
Dean,Solomon,Essien
Walter,Christy,Alozie
Solomon,Justie,Akande
Christy,azeez,Olotu
Justie,John,Amos
azeez,Zoella,Oni
John,Goodluck,Ohakwu
Zoella,Vivian,Gbadamosi
Esa,Divine,Egwu
Goodluck,Eunice,Maryam
Vivian,Oni,Oga
Divine,Deborah,Odu
Eunice,Mfon,Ajewole
Oni,Iniobong,Christian
Deborah,Pascal,Makinde
Kofi,Kofi,Ndubuisi
Pascal,Ameerah,Ayuba
Ameerah,Nzube,Jimoh
Nzube,Efetobore,Mato
Efetobore,Ubong,Danladi
Ubong,lateef,Ahamad
lateef,Rose,Yinusa
Rose,Charles,Okeke
Osagie,Zeenat,Tajudeen
Charles,Azubuike,Tom
Zeenat,Osasere,Ezike
Azubuike,Godwin,Yusuff
Godwin,Tini,Samaila
Tini,Ini,Uka
Ini,Hanson,Alhassan
Hanson,Emmanuel Deborah,Akanji
Emmanuel Deborah,Rex,Ogu
Rex,Ijeamaka,Nurudeen
Ijeamaka,Anna,Alhaji
Anna,Francis,Nnadi
Francis,Gideon,Obot
Gideon,DeeDee,Mamuda
DeeDee,Richard,Isiya
Richard,Abigail,Kareem
Abigail,David,Ifeanyi
David,Gozie,Khalid
Gozie,Jeremiah,Onuh
Osaigbovo,Onyinye,Asuquo
Jeremiah,Joseph,Ekpo
Onyinye,Amaka,Joshua
Joseph,Rachael,Inuwa
Amaka,Ridwan,Issa
Rachael,Precious,Jegede
Ridwan,Mary,Okoye
Precious,Augustine,Ogbonnaya
Mary,Molly,Yushau
Augustine,Williams,Zubairu
Molly,Edidiong,Mathew
Williams,Ifeanyi,Rasaki
Ifeanyi,Ene,Ayeni
Annie,Annie,Oboh
Dorcas,Dorcas,Alex
Ejiro,Ejiro,Atanda
Harrison,Harrison,Hauwau
Simon,Simon,Aba
Abike,Abike,Anas
Nasifuddeen,Nasifuddeen,Ibori
Ceader,Ceader,Amesi
Jack,Ochanya,Reuben
Redeem,Jack,Mama
Israel,Redeem,Ilo
Aloaye,Israel,Abidoye
Ralia,Aloaye,Orji
ira,Ralia,Saheed
Diana,ira,Ebong
Elizabeth,Diana,Agada
Dami,Elizabeth,Gabriel
Helen,Dami,Galadima
pink,Helen,Nuhu
tolulope,pink,Oloyede
Mercy,tolulope,Audu
Victoria,Mercy,Jonah
Achu,Victoria,Ganiyu
Rahama,Achu,Owoeye
Jake,Rahama,Dike
kelvin,Jake,Badmus
Jessica,Itohan,Bukar
Abiye,kelvin,Rowland
Austin,Ekaette,Bitrus
Gabriel,Jessica,Osho
Uche,Austin,Yunusa
Etim,Gabriel,Okoroafor
Emma,Uche,Surajo
Amineet,Emma,Bishir
Unini,Amineet,Ishaq
Josh,Unini,Umukoro
King,Josh,Ejeh
Banji,Adesuwa,Yohanna
vincent,King,Abass
Peace,Banji,Okunola
Idris,vincent,Wilson
Zainab,Peace,Taiwo
Yanick,Idris,Peter
Mofe,Zainab,Zayyanu
jannybliss,Yanick,Yau
Onome,Mofe,Opara
Sophia,jannybliss,Alfa
Richie,Onome,Kingsley
timmy,Sophia,Ikponmwosa
Monday,Richie,Elisha
Toluwalase,timmy,Obasi
Balogun,Monday,Ejiofor
Oghenekevwe,Toluwalase,Rabi
Peter,Balogun,Benjamin
Micah,Oghenekevwe,Ari
Justina,Peter,Momoh
Joycee,Micah,Auta
Micheal,Justina,Martins
Kingsley,Joycee,Okezie
Effiong,Micheal,Malami
Ikponmwosa,Kingsley,Ashiru
Utibeabasi,Utibeabasi,Aishatu
stephen,stephen,Nwibo
Daniel,Daniel,Agba
Joy,Joy,Osoji
Akpan,Hikmat,Saad
Hikmat,Umar,Noah
Umar,Dolly,Johnson
Dolly,Jude,Ya
Jude,Benjamin,Kalu
Benjamin,Kelechi,Safiyanu
Kelechi,Martins,Bako
Martins,Prince,Muntari
Prince,Ceaser,Haladu
Ceaser,Otega,Jatau
Otega,Kesta,Rotimi
Kesta,Bola,Yahya
Bola,mofiyin,Edet
mofiyin,Justin,Faruk
Justin,kebe,Rabiu
kebe,Pere,Titus
Pere,Stephanie,Shamsu
Stephanie,Uwem,Ieben
Uwem,Felix,Akanni
Bassey,Osas,Timothy
Felix,Sonia,Alabi
Sonia,Faith,Okere
Faith,Boma,Osaro
Boma,Shainaan,Idahosa
Shainaan,Stella,Clement
Stella,Ivory,Iliya
Edet,katrine,Malam
katrine,Aye,Hamza
Aye,Handsome,Ibikunle
Handsome,Augustina,Aremu
Augustina,Anthony,Yekini
Anthony,Kizito,Isaiah
Kizito,Andrew,Dennis
Andrew,Olive,Inyang
Osaro,Ebi,Amodu
Olive,Verse,Osakwe
Ebi,Henry,Ogbu
Verse,Kolade,Hamidu
Henry,,Dahiru
Kolade,,Agbaje
,,Ogah
,,Mansur
,,Onwuka
,,Agwu
,,Fatai
,,Rasaq
,,Ishola
,,Ayinla
,,Vincent
,,Nwogu
,,Agboola
,,Odeh
,,Victor
,,Idi
,,Hadiza
,,Alli
,,Eneotu
,,Bankole
,,Philip
,,Thompson
,,Okon
,,Madu
,,Umoh
,,Ibekwe
,,Sikiru
,,Mahammad
,,Anyanwu
,,Gana
,,Amina
,,Marcus
,,Adio
,,Odey
,,Emmanuel
,,Alade
,,Giwa
,,Okoli
,,Nneji
,,Egbo
,,Ndukwe
,,Udofia
,,Nafiu
,,Ibe
,,Falade
,,Agu
,,Nasir
,,Dickson
,,Ige
,,Umoren
,,Ani
,,Danjuma
,,Job
,,Ubale
,,Kehinde
,,Mani
,,Isyaku
,,Ganiu
,,Bashar
,,Ekeh
,,Soliu
,,Okpe
,,Alkali
,,Nasiru
,,Osagie
,,Akeem
,,Kasim
,,Ladan
,,Azubuike
,,Stephen
,,Falalu
,,Ajao
,,Ogbodo
,,Fatima
,,Aneke
,,Madaki
,,Francis
,,Maina
,,Nkomadu
